sort_id,common_name,formal_name,iso3,visits
199,Somaliland,Republic of Somaliland,SOM,
200,South Ossetia,Republic of South Ossetia,GEO,
201,Ashmore and Cartier Islands,Territory of Ashmore and Cartier Islands,AUS,
202,Christmas Island,Territory of Christmas Island,CXR,
203,Cocos (Keeling) Islands,Territory of Cocos (Keeling) Islands,CCK,
204,Coral Sea Islands,Coral Sea Islands Territory,AUS,
205,Heard Island and McDonald Islands,Territory of Heard Island and McDonald Islands,HMD,
206,Norfolk Island,Territory of Norfolk Island,NFK,
208,French Polynesia,Overseas Country of French Polynesia,PYF,
209,Mayotte,Departmental Collectivity of Mayotte,MYT,
210,Saint Barthelemy,Collectivity of Saint Barthelemy,GLP,
211,Saint Martin,Collectivity of Saint Martin,GLP,
212,Saint Pierre and Miquelon,Territorial Collectivity of Saint Pierre and Miquelon,SPM,
213,Wallis and Futuna,Collectivity of the Wallis and Futuna Islands,WLF,
214,French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,ATF,
215,Clipperton Island,,PYF,
216,Bouvet Island,,BVT,
217,Cook Islands,,COK,
218,Niue,,NIU,
219,Tokelau,,TKL,
220,Guernsey,Bailiwick of Guernsey,GGY,
221,Isle of Man,,IMN,
222,Jersey,Bailiwick of Jersey,JEY,
223,Anguilla,,AIA,
224,Bermuda,,BMU,
225,British Indian Ocean Territory,,IOT,
226,British Sovereign Base Areas,,,
227,British Virgin Islands,,VGB,
228,Cayman Islands,,CYM,
229,Falkland Islands (Islas Malvinas),,FLK,
230,Gibraltar,,GIB,
231,Montserrat,,MSR,
232,Pitcairn Islands,,PCN,
233,Saint Helena,,SHN,
234,South Georgia & South Sandwich Islands,,SGS,
235,Turks and Caicos Islands,,TCA,
236,Northern Mariana Islands,Commonwealth of The Northern Mariana Islands,MNP,
238,American Samoa,Territory of American Samoa,ASM,
239,Baker Island,,UMI,
241,Howland Island,,UMI,
242,Jarvis Island,,UMI,
243,Johnston Atoll,,UMI,
244,Kingman Reef,,UMI,
245,Midway Islands,,UMI,
246,Navassa Island,,UMI,
247,Palmyra Atoll,,UMI,
248,U.S. Virgin Islands,United States Virgin Islands,VIR,
249,Wake Island,,UMI,
251,Macau,Macau Special Administrative Region,MAC,
252,Faroe Islands,,FRO,
253,Greenland,,GRL,
254,French Guiana,Overseas Region of Guiana,GUF,
255,Guadeloupe,Overseas Region of Guadeloupe,GLP,
256,Martinique,Overseas Region of Martinique,MTQ,
257,Reunion,Overseas Region of Reunion,REU,
258,Aland,,ALA,
261,Svalbard,,SJM,
262,Ascension,,ASC,
263,Tristan da Cunha,,TAA,
268,Australian Antarctic Territory,,ATA,
269,Ross Dependency,,ATA,
270,Peter I Island,,ATA,
271,Queen Maud Land,,ATA,
272,British Antarctic Territory,,ATA,
